"","itemid","ianum","ia_text","surp","prev_surp","prev2_surp","len","prev_len","prev2_len","freq","prev_freq","prev2_freq","ent","prev_ent","prev2_ent","psychometric","context"
"1",1,3,"in",6.20201755388701,8.36470201521887,7.63290750914606,2,2,5,7.35983548233989,7.19865708695442,3.19033169817029,7.77442741394043,10.7462148666382,9.58330345153809,254.142857142857,"long"
"2",1,4,"de",3.4168046135942,6.20201755388701,8.36470201521887,2,2,2,7.72997428569956,7.35983548233989,7.19865708695442,8.56459045410156,7.77442741394043,10.7462148666382,153.928571428571,"long"
"3",1,5,"oude",9.47761087392464,3.4168046135942,6.20201755388701,4,2,2,5.51054501020661,7.72997428569956,7.35983548233989,9.95626831054688,8.56459045410156,7.77442741394043,160.607142857143,"long"
"4",1,6,"Romeinse",5.62231047633293,9.47761087392464,3.4168046135942,8,4,2,4.06818586174616,5.51054501020661,7.72997428569956,8.76570320129395,9.95626831054688,8.56459045410156,209.107142857143,"long"
"5",1,7,"religie",9.02532949535616,5.62231047633293,9.47761087392464,7,8,4,4.45024910831936,4.06818586174616,5.51054501020661,6.98551368713379,8.76570320129395,9.95626831054688,274.785714285714,"long"
"6",1,8,"en",5.90501159793542,9.02532949535616,5.62231047633293,2,7,8,7.39967372148104,4.45024910831936,4.06818586174616,4.65026044845581,6.98551368713379,8.76570320129395,103.321428571429,"long"
"7",1,9,"mythes",14.9923309892101,5.90501159793542,9.02532949535616,6,2,7,3.17026171539496,7.39967372148104,4.45024910831936,7.03170165419579,4.65026044845581,6.98551368713379,319.428571428571,"long"
"8",1,10,"de",3.32372350660161,14.9923309892101,5.90501159793542,2,6,2,7.72997428569956,3.17026171539496,7.39967372148104,5.57392072677612,7.03170165419579,4.65026044845581,90.2857142857143,"long"
"9",1,11,"god",0.975806030210249,3.32372350660161,14.9923309892101,3,2,6,5.17897694729317,7.72997428569956,3.17026171539496,4.92612457275391,5.57392072677612,7.03170165419579,264.214285714286,"long"
"10",1,12,"van",0.227591080798663,0.975806030210249,3.32372350660161,3,3,2,7.51054501020661,5.17897694729317,7.72997428569956,1.05628335475922,4.92612457275391,5.57392072677612,162.142857142857,"long"
"11",1,13,"het",3.49135529782186,0.227591080798663,0.975806030210249,3,3,3,7.48995847942483,7.51054501020661,5.17897694729317,3.51954865455627,1.05628335475922,4.92612457275391,219.392857142857,"long"
"12",1,14,"begin",8.1984104340539,3.49135529782186,0.227591080798663,5,3,3,5.41995574848976,7.48995847942483,7.51054501020661,7.53415250778198,3.51954865455627,1.05628335475922,224.714285714286,"long"
"13",1,15,"en",2.03345872801649,8.1984104340539,3.49135529782186,2,5,3,7.39967372148104,5.41995574848976,7.48995847942483,2.76102066040039,7.53415250778198,3.51954865455627,153.25,"long"
"14",1,16,"van",3.30299194776288,2.03345872801649,8.1984104340539,3,2,5,7.51054501020661,7.39967372148104,5.41995574848976,3.22652196884155,2.76102066040039,7.53415250778198,250.571428571429,"long"
"15",1,17,"poorten.",21.3592117461862,3.30299194776288,2.03345872801649,8,3,2,3.91009054559407,7.51054501020661,7.39967372148104,6.79161286354065,3.22652196884155,2.76102066040039,284.571428571429,"long"
"16",1,18,"Hij",1.92914580419982,21.3592117461862,3.30299194776288,3,8,3,6.69983772586725,3.91009054559407,7.51054501020661,5.42313241958618,6.79161286354065,3.22652196884155,111.5,"long"
"17",1,19,"heeft",5.40626444898693,1.92914580419982,21.3592117461862,5,3,8,6.55990662503611,6.69983772586725,3.91009054559407,4.22712087631226,5.42313241958618,6.79161286354065,281.678571428571,"long"
"18",1,20,"een",2.36838717614868,5.40626444898693,1.92914580419982,3,5,3,7.40993312333129,6.55990662503611,6.69983772586725,5.93413257598877,4.22712087631226,5.42313241958618,186.535714285714,"long"
"19",1,21,"dubbele",8.02310765862725,2.36838717614868,5.40626444898693,7,3,5,4.58994960132571,7.40993312333129,6.55990662503611,8.92796850204468,5.93413257598877,4.22712087631226,185.5,"long"
"20",1,22,"aard",10.6776266075691,8.02310765862725,2.36838717614868,4,7,3,4.38916608436453,4.58994960132571,7.40993312333129,4.39285087585449,8.92796850204468,5.93413257598877,216.928571428571,"long"
"21",1,23,"en",2.64237309678436,10.6776266075691,8.02310765862725,2,4,7,7.39967372148104,4.38916608436453,4.58994960132571,3.12097597122192,4.39285087585449,8.92796850204468,179.464285714286,"long"
"22",1,24,"wordt",3.94037712371252,2.64237309678436,10.6776266075691,5,2,4,6.38916608436453,7.39967372148104,4.38916608436453,5.83404636383057,3.12097597122192,4.39285087585449,178.464285714286,"long"
"23",1,25,"meestal",5.93483765731567,3.94037712371252,2.64237309678436,7,5,2,5.10037054511756,6.38916608436453,7.39967372148104,5.57477235794067,5.83404636383057,3.12097597122192,188.964285714286,"long"
"24",1,26,"voorgesteld",7.34939904332096,5.93483765731567,3.94037712371252,11,7,5,4.34044411484012,5.10037054511756,6.38916608436453,5.66717797517776,5.57477235794067,5.83404636383057,253.321428571429,"long"
"25",1,27,"met",4.68402513984235,7.34939904332096,5.93483765731567,3,11,7,7,4.34044411484012,5.10037054511756,0.769713282585144,5.66717797517776,5.57477235794067,103.178571428571,"long"
"26",1,28,"twee",3.05313449733409,4.68402513984235,7.34939904332096,4,3,11,6.06069784035361,7,4.34044411484012,3.55803418159485,0.769713282585144,5.66717797517776,196.928571428571,"long"
"27",1,29,"gezichten,",8.76186004086508,3.05313449733409,4.68402513984235,10,4,3,4.2405492482826,6.06069784035361,7,9.88527132570744,3.55803418159485,0.769713282585144,228.857142857143,"long"
"28",1,30,"omdat",6.62287686530722,8.76186004086508,3.05313449733409,5,10,4,5.94987770403687,4.2405492482826,6.06069784035361,5.571364402771,9.88527132570744,3.55803418159485,198.178571428571,"long"
"29",1,31,"hij",0.554889395790428,6.62287686530722,8.76186004086508,3,5,10,6.69983772586725,5.94987770403687,4.2405492482826,2.63096714019775,5.571364402771,9.88527132570744,147.892857142857,"long"
"30",1,32,"zowel",4.76798024417556,0.554889395790428,6.62287686530722,5,3,5,5.35983548233989,6.69983772586725,5.94987770403687,6.70980596542358,2.63096714019775,5.571364402771,179.535714285714,"long"
"31",1,33,"naar",9.80737156147503,4.76798024417556,0.554889395790428,4,5,3,6.65030752313194,5.35983548233989,6.69983772586725,6.69166898727417,6.70980596542358,2.63096714019775,140.428571428571,"long"
"32",1,34,"de",2.16536278327993,9.80737156147503,4.76798024417556,2,4,5,7.72997428569956,6.65030752313194,5.35983548233989,4.11257553100586,6.69166898727417,6.70980596542358,55.2142857142857,"long"
"33",1,35,"toekomst",7.25863504585328,2.16536278327993,9.80737156147503,8,2,4,5.20951501454263,7.72997428569956,6.65030752313194,7.94683170318604,4.11257553100586,6.69166898727417,220.285714285714,"long"
"34",1,36,"als",0.361861426962864,7.25863504585328,2.16536278327993,3,8,2,6.80002935924413,5.20951501454263,7.72997428569956,1.89764583110809,7.94683170318604,4.11257553100586,72.6785714285714,"long"
"35",1,37,"naar",0.462969691764006,0.361861426962864,7.25863504585328,4,3,8,6.65030752313194,6.80002935924413,5.20951501454263,1.8449958562851,1.89764583110809,7.94683170318604,238.607142857143,"long"
"36",1,38,"het",2.4416181763192,0.462969691764006,0.361861426962864,3,4,3,7.48995847942483,6.65030752313194,6.80002935924413,1.95437002182007,1.8449958562851,1.89764583110809,69.8214285714286,"long"
"37",1,39,"verleden",0.283024554636797,2.4416181763192,0.462969691764006,8,3,4,4.92992956008459,7.48995847942483,6.65030752313194,1.33321427926421,1.95437002182007,1.8449958562851,295.214285714286,"long"
"38",1,40,"kijkt.",0.660350296644266,0.283024554636797,2.4416181763192,6,8,3,4.91009054559407,4.92992956008459,7.48995847942483,3.52916487678885,1.33321427926421,1.95437002182007,149.035714285714,"long"
"39",1,41,"Janus",8.83867410546069,0.660350296644266,0.283024554636797,5,6,8,3.19033169817029,4.91009054559407,4.92992956008459,5.2762181609869,3.52916487678885,1.33321427926421,238.678571428571,"long"
