"","itemid","ianum","ia_text","surp","prev_surp","prev2_surp","len","prev_len","prev2_len","freq","prev_freq","prev2_freq","ent","prev_ent","prev2_ent","total_rt","gaze_rt","firstfix_rt","context"
"1",1,7,"the",2.14822351309417,0.995872135998,8.88990831181365,3,2,5,5.54032947479087,4.07918124604763,3.72015930340596,7.99414968490601,1.9358446598053,1.70600891113281,166.787878787879,163.575757575758,153.090909090909,"long"
"2",1,13,"one",7.84318426894211,4.04099752135601,2.46692910878773,3,3,4,4.51982799377572,5.06818586174616,3.64048143697042,7.06462478637695,2.38054037094116,1.66941261291504,224.363636363636,206.575757575758,199,"long"
"3",1,14,"of",0.0192836458783702,7.84318426894211,4.04099752135601,2,3,3,5.29003461136252,4.51982799377572,5.06818586174616,0.177299007773399,7.06462478637695,2.38054037094116,144.424242424242,124.333333333333,119.090909090909,"long"
"4",1,15,"the",0.201711934806508,0.0192836458783702,7.84318426894211,3,2,3,5.54032947479087,5.29003461136252,4.51982799377572,1.4169909954071,0.177299007773399,7.06462478637695,103.060606060606,88.9393939393939,88.9393939393939,"long"
"5",1,19,"telegraph,",6.22708043860591,0.596171649037773,0.0365121703958858,10,3,2,3.57978359661681,5.54032947479087,5.29003461136252,11.3301919698715,3.8088641166687,0.291814535856247,609.909090909091,491.393939393939,256.212121212121,"long"
"6",1,20,"was",1.9445558633176,6.22708043860591,0.596171649037773,3,10,3,3.8998205024271,3.57978359661681,5.54032947479087,6.72199773788452,11.3301919698715,3.8088641166687,164.787878787879,150.848484848485,134,"long"
"7",1,27,"was",1.03256105227365,1.75690680863276,7.84578202641196,3,2,5,3.8998205024271,3.65030752313194,3.0899051114394,4.30244064331055,5.68621301651001,4.4990291595459,239.484848484848,201.121212121212,179.212121212121,"long"
"8",1,28,"always",11.7780761846388,1.03256105227365,1.75690680863276,6,3,2,3.39967372148104,3.8998205024271,3.65030752313194,5.51794481277466,4.30244064331055,5.68621301651001,282.848484848485,227.909090909091,199.727272727273,"long"
"9",1,32,"and",1.91231185883679,7.76850413105663,0.0142737376695752,3,10,2,5.06818586174616,3.65991620006985,5.22010808804005,1.60350787639618,6.94308710098267,0.129104986786842,84.7272727272727,74.3030303030303,70.5454545454545,"long"
"10",1,37,"college,",4.879233904113,4.05108074706431,0.170060239888907,8,2,11,3.98989456371877,5.22010808804005,3.29003461136252,7.02998042106628,2.12263083457947,1.0447496175766,383.515151515152,345.575757575758,186.878787878788,"long"
"11",1,42,"to",1.73545746425615,4.20225803952299,1.78748520980834,2,5,2,5.34044411484012,3.91009054559407,5.34044411484012,3.43767714500427,6.08161592483521,3.24629306793213,86.6969696969697,78.4242424242424,67.8484848484848,"long"
"12",1,46,"artists",2.63073494530844,9.06046723505905,6.5683479728019,7,6,4,3.0899051114394,3.10037054511756,4.35024801833416,5.13296127319336,7.02251195907593,5.41929960250854,322.818181818182,293,258.181818181818,"long"
"13",1,47,"of",5.2370098653437,2.63073494530844,9.06046723505905,2,7,6,5.29003461136252,3.0899051114394,3.10037054511756,3.91151428222656,5.13296127319336,7.02251195907593,53.2424242424242,48.8181818181818,48.8181818181818,"long"
"14",1,48,"his",4.70554822026445,5.2370098653437,2.63073494530844,3,2,7,3.48000694295715,5.29003461136252,3.0899051114394,2.33883476257324,3.91151428222656,5.13296127319336,336.363636363636,277.878787878788,234.606060606061,"long"
"15",1,49,"day",3.76668020987188,4.70554822026445,5.2370098653437,3,3,2,4.38916608436453,3.48000694295715,5.29003461136252,1.09041011333466,2.33883476257324,3.91151428222656,265.848484848485,180.212121212121,170.181818181818,"long"
"16",1,50,"and",3.06798020820368,3.76668020987188,4.70554822026445,3,3,3,5.06818586174616,4.38916608436453,3.48000694295715,2.8458240032196,1.09041011333466,2.33883476257324,196.787878787879,163.212121212121,149.242424242424,"long"
"17",1,55,"that",5.58147293980807,6.02467004996708,4.22087341061318,4,8,4,4.13033376849501,3.17026171539496,3.06818586174616,4.08060741424561,4.57881498336792,6.41761589050293,282.969696969697,237.121212121212,206.393939393939,"long"
"18",1,56,"now",9.12766592154236,5.58147293980807,6.02467004996708,3,4,8,3.98989456371877,4.13033376849501,3.17026171539496,5.86400747299194,4.08060741424561,4.57881498336792,200.242424242424,143.030303030303,118.242424242424,"long"
"19",1,67,"Adams.",3.06868544084828,3.73019929295729,1.82666277361721,6,4,9,3.10037054511756,4.30102999566398,3.58994960132571,5.20061016082764,4.53822135925293,4.98714685440063,335.121212121212,295.69696969697,206.272727272727,"long"
"20",1,68,"In",3.79167453763613,3.06868544084828,3.73019929295729,2,6,4,5.22010808804005,3.10037054511756,4.30102999566398,4.67902231216431,5.20061016082764,4.53822135925293,78.5757575757576,78.5757575757576,78.5757575757576,"long"
"21",1,69,"1825,",7.13794924104351,3.79167453763613,3.06868544084828,5,2,6,3.15228834438306,5.22010808804005,3.10037054511756,9.19035542011261,4.67902231216431,5.20061016082764,585.454545454545,524.939393939394,273.393939393939,"long"
"22",1,73,"Washington,",7.72672825962205,6.86037261619673,3.34460772600272,11,2,3,3.72015930340596,5.22010808804005,3.8998205024271,7.37272119522095,6.0583233833313,6.36595344543457,606.484848484848,457.666666666667,249.666666666667,"long"
"23",1,85,"messenger",10.7901395535693,4.31265304556482,9.0792003953816,9,1,4,3.35024801833416,5.35024801833416,3.72997428569956,10.9962141513824,4.29037761688232,3.23643445968628,422.575757575758,336.848484848485,233.272727272727,"long"
"24",1,91,"him",0.357396828180895,4.82034416658427,3.15344678821086,3,4,2,3.2405492482826,3.14921911265538,5.34044411484012,1.73875498771667,7.40930795669556,3.81943106651306,172.636363636364,161.30303030303,161.30303030303,"long"
"25",1,92,"that",1.47574501565678,0.357396828180895,4.82034416658427,4,3,4,4.13033376849501,3.2405492482826,3.14921911265538,3.49555611610413,1.73875498771667,7.40930795669556,195.424242424242,175.878787878788,162.242424242424,"long"
"26",1,93,"his",4.18649464334524,1.47574501565678,0.357396828180895,3,4,3,3.48000694295715,4.13033376849501,3.2405492482826,4.46908283233643,3.49555611610413,1.73875498771667,301.848484848485,288.666666666667,208.454545454545,"long"
"27",1,100,"his",4.50073656183039,3.94227015346645,17.0275971121842,3,2,4,3.48000694295715,4.86981820797933,4.17897694729317,2.8578155040741,1.9001053571701,1.91250371932983,200.818181818182,157.121212121212,157.121212121212,"long"
"28",1,101,"home",1.35946996109441,4.50073656183039,3.94227015346645,4,3,2,4.22010808804005,3.48000694295715,4.86981820797933,4.67332649230957,2.8578155040741,1.9001053571701,235.151515151515,190.969696969697,173.363636363636,"long"
"29",1,102,"in",1.13706304024252,1.35946996109441,4.50073656183039,2,4,3,5.22010808804005,4.22010808804005,3.48000694295715,2.32013273239136,4.67332649230957,2.8578155040741,83.5757575757576,72.4242424242424,72.4242424242424,"long"
"30",1,106,"had",5.24084721870448,6.98878690855079,2.77694206105471,3,7,3,3.2405492482826,3.17026171539496,5.54032947479087,5.35288667678833,7.07006978988647,5.55647659301758,189.787878787879,149.575757575758,147.606060606061,"long"
"31",1,114,"of",2.77021596142794,6.98777274414299,3.45509792619837,2,7,3,5.29003461136252,3.10037054511756,3.2405492482826,4.67597389221191,2.85305213928223,5.16835498809814,164.757575757576,154.909090909091,154.909090909091,"long"
"32",1,115,"the",0.808478212473879,2.77021596142794,6.98777274414299,3,2,7,5.54032947479087,5.29003461136252,3.10037054511756,4.17551374435425,4.67597389221191,2.85305213928223,124.969696969697,124.030303030303,112.636363636364,"long"
"33",1,121,"home",1.53530731166683,2.5523640751984,0.851198542657805,4,3,2,4.22010808804005,3.48000694295715,5.34044411484012,5.27782011032104,5.18610095977783,2.8681628704071,234.545454545455,189.060606060606,162.818181818182,"long"
"34",1,122,"as",8.76918794532642,1.53530731166683,2.5523640751984,2,4,3,4.07918124604763,4.22010808804005,3.48000694295715,3.55531620979309,5.27782011032104,5.18610095977783,104.545454545455,101.909090909091,101.909090909091,"long"
"35",1,123,"fast",3.81641050180245,8.76918794532642,1.53530731166683,4,2,4,3.81023251799508,4.07918124604763,4.22010808804005,4.59948444366455,3.55531620979309,5.27782011032104,293.575757575758,260.545454545455,219.212121212121,"long"
"36",1,124,"as",0.0221687890854227,3.81641050180245,8.76918794532642,2,4,2,4.07918124604763,3.81023251799508,4.07918124604763,0.155060663819313,4.59948444366455,3.55531620979309,99,83.0909090909091,83.0909090909091,"long"
"37",1,125,"he",0.470276236620883,0.0221687890854227,3.81641050180245,2,2,4,3.65030752313194,4.07918124604763,3.81023251799508,1.57588374614716,0.155060663819313,4.59948444366455,110.909090909091,110.909090909091,110.909090909091,"long"
"38",1,126,"could,",1.87408579060511,0.470276236620883,0.0221687890854227,6,2,2,3.26007138798508,3.65030752313194,4.07918124604763,3.55928492546082,1.57588374614716,0.155060663819313,248.606060606061,206.181818181818,167.545454545455,"long"
"39",1,127,"but",1.97838254393517,1.87408579060511,0.470276236620883,3,6,2,3.75966784468963,3.26007138798508,3.65030752313194,5.3472204208374,3.55928492546082,1.57588374614716,136.909090909091,123.242424242424,118.939393939394,"long"
"40",1,128,"his",3.38216354631937,1.97838254393517,1.87408579060511,3,3,6,3.48000694295715,3.75966784468963,3.26007138798508,6.15913152694702,5.3472204208374,3.55928492546082,205.333333333333,188.666666666667,173.636363636364,"long"
"41",1,135,"the",0.854505320498775,9.65169638251075,0.313830465513853,3,2,4,5.54032947479087,4.98000337158375,3.57978359661681,4.09439086914062,2.91425800323486,1.44900548458099,177.636363636364,177.636363636364,177.636363636364,"long"
"42",1,136,"time",0.438584435922089,0.854505320498775,9.65169638251075,4,3,2,4.51054501020661,5.54032947479087,4.98000337158375,2.58908653259277,4.09439086914062,2.91425800323486,233.757575757576,223.515151515152,208.818181818182,"long"
"43",1,137,"he",0.325032796317351,0.438584435922089,0.854505320498775,2,4,3,3.65030752313194,4.51054501020661,5.54032947479087,1.46830177307129,2.58908653259277,4.09439086914062,103.060606060606,103.060606060606,93.3939393939394,"long"
"44",1,145,"and",1.15253771456927,0.976732611925912,0.703032276897186,3,8,2,5.06818586174616,3.26007138798508,4.57978359661681,3.38571524620056,2.96344637870789,2.6985387802124,124.121212121212,107.030303030303,107.030303030303,"long"
"45",1,149,"of",0.0045536261926433,0.334880332892865,5.45733520143871,2,4,3,5.29003461136252,3.23044892137827,5.54032947479087,0.0392100289463997,1.43653392791748,1.84926438331604,71.3333333333333,71.3333333333333,71.3333333333333,"long"
"46",1,150,"his",0.0392296469177926,0.0045536261926433,0.334880332892865,3,2,4,3.48000694295715,5.29003461136252,3.23044892137827,0.216733381152153,0.0392100289463997,1.43653392791748,124.666666666667,124.666666666667,119.515151515152,"long"
"47",1,151,"life",0.137628156361155,0.0392296469177926,0.0045536261926433,4,3,2,4.48000694295715,3.48000694295715,5.29003461136252,0.78691154718399,0.216733381152153,0.0392100289463997,135.666666666667,135.666666666667,120.818181818182,"long"
"48",1,152,"to",0.117683556424185,0.137628156361155,0.0392296469177926,2,4,3,5.34044411484012,4.48000694295715,3.48000694295715,0.920472919940948,0.78691154718399,0.216733381152153,63.2121212121212,63.2121212121212,63.2121212121212,"long"
"49",2,3,"Vinci",0.0624549292800524,2.08397496384105,0.616490681057125,5,2,8,3.20951501454263,3.80002935924413,3.39967372148104,0.458385527133942,7.94812726974487,4.20677328109741,250.171428571429,203.542857142857,168.057142857143,"long"
"50",2,4,"is",7.6656200430336,0.0624549292800524,2.08397496384105,2,5,2,4.68033551341456,3.20951501454263,3.80002935924413,8.54809665679932,0.458385527133942,7.94812726974487,126.714285714286,114.285714285714,112.2,"long"
"51",2,5,"not",7.01370300965261,7.6656200430336,0.0624549292800524,3,2,5,4.16136800223498,4.68033551341456,3.20951501454263,7.0396556854248,8.54809665679932,0.458385527133942,252.485714285714,232.571428571429,210.742857142857,"long"
"52",2,6,"only",2.66815842936294,7.01370300965261,7.6656200430336,4,3,2,3.72997428569956,4.16136800223498,4.68033551341456,6.38773679733276,7.0396556854248,8.54809665679932,235.085714285714,194.714285714286,182.6,"long"
"53",2,7,"one",2.50938228316754,2.66815842936294,7.01370300965261,3,4,3,4.51982799377572,3.72997428569956,4.16136800223498,4.12513160705566,6.38773679733276,7.0396556854248,205.142857142857,178.971428571429,168.942857142857,"long"
"54",2,8,"of",0.0314168703799346,2.50938228316754,2.66815842936294,2,3,4,5.29003461136252,4.51982799377572,3.72997428569956,0.302513867616653,4.12513160705566,6.38773679733276,158.571428571429,142.828571428571,129.8,"long"
"55",2,9,"the",0.160310164172025,0.0314168703799346,2.50938228316754,3,2,3,5.54032947479087,5.29003461136252,4.51982799377572,1.10376799106598,0.302513867616653,4.12513160705566,139.828571428571,131.657142857143,119.2,"long"
"56",2,10,"most",1.8625317800298,0.160310164172025,0.0314168703799346,4,3,2,3.43933269383026,5.54032947479087,5.29003461136252,2.27246642112732,1.10376799106598,0.302513867616653,198.171428571429,176.714285714286,163.028571428571,"long"
"57",2,11,"famous",1.8012754574646,1.8625317800298,0.160310164172025,6,4,3,3.10037054511756,3.43933269383026,5.54032947479087,5.18539714813232,2.27246642112732,1.10376799106598,234.514285714286,204.771428571429,189.028571428571,"long"
"58",2,12,"artists",1.80237429110214,1.8012754574646,1.8625317800298,7,6,4,3.0899051114394,3.10037054511756,3.43933269383026,5.25096035003662,5.18539714813232,2.27246642112732,290.771428571429,262.028571428571,211,"long"
"59",2,13,"in",2.65968316311226,1.80237429110214,1.8012754574646,2,7,6,5.22010808804005,3.0899051114394,3.10037054511756,2.84811401367188,5.25096035003662,5.18539714813232,58.7142857142857,58.7142857142857,58.7142857142857,"long"
"60",2,14,"history,",1.30296696959113,2.65968316311226,1.80237429110214,8,2,7,3.63042787502502,5.22010808804005,3.0899051114394,3.98777294158936,2.84811401367188,5.25096035003662,339.542857142857,288.885714285714,206.771428571429,"long"
"61",2,15,"but",0.403349905084883,1.30296696959113,2.65968316311226,3,8,2,3.75966784468963,3.63042787502502,5.22010808804005,1.49656319618225,3.98777294158936,2.84811401367188,153.171428571429,138.485714285714,135.342857142857,"long"
"62",2,16,"he",3.67326372416397,0.403349905084883,1.30296696959113,2,3,8,3.65030752313194,3.75966784468963,3.63042787502502,2.35442805290222,1.49656319618225,3.98777294158936,154.685714285714,137.657142857143,123.542857142857,"long"
"63",2,17,"was",2.70113487823609,3.67326372416397,0.403349905084883,3,2,3,3.8998205024271,3.65030752313194,3.75966784468963,3.00752902030945,2.35442805290222,1.49656319618225,217.142857142857,216.057142857143,197.657142857143,"long"
"64",2,18,"also",0.337937762215016,2.70113487823609,3.67326372416397,4,3,2,3.35024801833416,3.8998205024271,3.65030752313194,1.81729793548584,3.00752902030945,2.35442805290222,284.8,248.457142857143,226.4,"long"
"65",2,19,"a",2.19346109609716,0.337937762215016,2.70113487823609,1,4,3,5.35024801833416,3.35024801833416,3.8998205024271,3.36376619338989,1.81729793548584,3.00752902030945,108.885714285714,95.7714285714286,95.7714285714286,"long"
"66",2,30,"his",0.849286148441745,0.599411200929625,7.96400250843079,3,2,4,3.48000694295715,5.29003461136252,3.43933269383026,2.42064547538757,2.87671995162964,2.73243117332458,160.314285714286,140.771428571429,133.457142857143,"long"
"67",2,49,"some",8.01486267597325,0.183850798687272,0.405966930115241,4,2,4,3.36921585741014,5.34044411484012,4.17897694729317,2.54408860206604,1.19652020931244,1.36968588829041,263.114285714286,222.828571428571,204.171428571429,"long"
"68",2,50,"of",0.35989377380705,8.01486267597325,0.183850798687272,2,4,2,5.29003461136252,3.36921585741014,5.34044411484012,2.64952421188354,2.54408860206604,1.19652020931244,49.0571428571429,46.2285714285714,46.2285714285714,"long"
"69",2,51,"his",0.378378351454256,0.35989377380705,8.01486267597325,3,2,4,3.48000694295715,5.29003461136252,3.36921585741014,1.49607765674591,2.64952421188354,2.54408860206604,233.314285714286,210.971428571429,187,"long"
"70",2,52,"original",5.794234487113,0.378378351454256,0.35989377380705,8,3,2,3.79028516403324,3.48000694295715,5.29003461136252,6.77033948898315,1.49607765674591,2.64952421188354,415.542857142857,282.4,218.114285714286,"long"
"71",2,63,"the",0.402719864712699,2.21454364045909,2.14526342016041,3,4,3,5.54032947479087,3.06069784035361,5.06818586174616,2.31566262245178,3.16868829727173,1.76722943782806,138.714285714286,109.171428571429,109.171428571429,"long"
"72",2,73,"still",1.18841834035949,11.0471079740794,3.41931370103308,5,3,4,3.29003461136252,3.92012332629072,4.13033376849501,1.63673853874207,2.65039825439453,3.86502981185913,275.828571428571,230.457142857143,184.314285714286,"long"
"73",2,74,"be",0.0519385873722146,1.18841834035949,11.0471079740794,2,5,3,4.34044411484012,3.29003461136252,3.92012332629072,0.478946834802628,1.63673853874207,2.65039825439453,135.085714285714,129.514285714286,129.514285714286,"long"
"74",2,88,"this",6.56327473505264,2.83090933808506,1.96119217202027,4,4,5,4.38021124171161,3.48000694295715,3.82994669594164,5.34359264373779,3.96816563606262,5.6682767868042,270.628571428571,226.285714285714,205.885714285714,"long"
"75",2,89,"man",5.45368790444101,6.56327473505264,2.83090933808506,3,4,4,4.17026171539496,4.38021124171161,3.48000694295715,8.98123550415039,5.34359264373779,3.96816563606262,178.485714285714,159.942857142857,143.685714285714,"long"
"76",2,93,"were",3.5641331702009,1.14847111317394,8.88268363515109,4,4,5,3.30102999566398,4.13033376849501,3.22010808804005,5.59304714202881,3.42811489105225,3.68289017677307,254.228571428571,211.428571428571,192.542857142857,"long"
"77",2,94,"far",4.81765429748915,3.5641331702009,1.14847111317394,3,4,4,3.2405492482826,3.30102999566398,4.13033376849501,7.84083080291748,5.59304714202881,3.42811489105225,192.828571428571,149.571428571429,149.571428571429,"long"
"78",2,98,"time.",1.18884987617104,2.78590874351502,0.0604295732899617,5,3,2,4.51054501020661,3.48000694295715,5.29003461136252,3.79549300670624,4.37105989456177,0.361502259969711,180.514285714286,163.885714285714,112.571428571429,"long"
"79",3,6,"of",0.062894007175087,3.5109979350438,4.79883598220121,2,3,2,5.29003461136252,4.51982799377572,4.68033551341456,0.60924881696701,6.6424674987793,9.11334896087646,79.5714285714286,79.5714285714286,79.5714285714286,"long"
