"","surp","y_lower","y_upper","y","delta","lang","model","linear"
"1",0,-2.49735431243848,2.91751469438451,0,17.0195645290301,"du","mgpt_sc","non-linear"
"2",0.1,-2.0990209635389,3.18967678884114,0.329399126549006,17.0195645290301,"du","mgpt_sc","non-linear"
"3",0.2,-1.69992726770779,3.46213837586525,0.659099518071752,17.0195645290301,"du","mgpt_sc","non-linear"
"4",0.3,-1.29931287801357,3.73519894802432,0.989402439542012,17.0195645290301,"du","mgpt_sc","non-linear"
"5",0.4,-0.907448502591667,4.00915799788584,1.32060915593353,17.0195645290301,"du","mgpt_sc","non-linear"
"6",0.5,-0.528860768763295,4.28431501801729,1.65302093222006,17.0195645290301,"du","mgpt_sc","non-linear"
"7",0.6,-0.14624749717051,4.56096950098614,1.98693903337536,17.0195645290301,"du","mgpt_sc","non-linear"
"8",0.7,0.241196419739566,4.83942093935988,2.32266472437318,17.0195645290301,"du","mgpt_sc","non-linear"
"9",0.8,0.634276089519823,5.119968825706,2.66049927018728,17.0195645290301,"du","mgpt_sc","non-linear"
"10",0.9,1.03379661972313,5.40291265259197,3.00074393579141,17.0195645290301,"du","mgpt_sc","non-linear"
"11",1,1.44056311790239,5.68855191258527,3.34369998615931,17.0195645290301,"du","mgpt_sc","non-linear"
"12",1.1,1.85538069161047,5.97718609825339,3.68966868626475,17.0195645290301,"du","mgpt_sc","non-linear"
"13",1.2,2.27905444840025,6.2691147021638,4.03895130108147,17.0195645290301,"du","mgpt_sc","non-linear"
"14",1.3,2.71238949582462,6.564637216884,4.39184909558324,17.0195645290301,"du","mgpt_sc","non-linear"
"15",1.4,3.15619094143647,6.86405313498146,4.74866333474381,17.0195645290301,"du","mgpt_sc","non-linear"
"16",1.5,3.61126389278867,7.16766194902366,5.10969528353692,17.0195645290301,"du","mgpt_sc","non-linear"
"17",1.6,4.07830202982052,7.47573237654932,5.47520595482917,17.0195645290301,"du","mgpt_sc","non-linear"
"18",1.7,4.55611763709195,7.78801351527366,5.84477672628721,17.0195645290301,"du","mgpt_sc","non-linear"
"19",1.8,5.01645057023489,8.10382187803143,6.21742317747227,17.0195645290301,"du","mgpt_sc","non-linear"
"20",1.9,5.34279583867426,8.42246079319939,6.59214364337299,17.0195645290301,"du","mgpt_sc","non-linear"
"21",2,5.66321568127342,8.74323358915428,6.96793645897798,17.0195645290301,"du","mgpt_sc","non-linear"
"22",2.1,5.981910984197,9.0897411977669,7.34379995927591,17.0195645290301,"du","mgpt_sc","non-linear"
"23",2.2,6.29971970913448,9.50049072674732,7.7187324792554,17.0195645290301,"du","mgpt_sc","non-linear"
"24",2.3,6.61645135439028,9.91221490603042,8.09173235390509,17.0195645290301,"du","mgpt_sc","non-linear"
"25",2.4,6.9319154182688,10.3225994593882,8.46179791821362,17.0195645290301,"du","mgpt_sc","non-linear"
"26",2.5,7.24592139907448,10.7293301105928,8.82792750716964,17.0195645290301,"du","mgpt_sc","non-linear"
"27",2.6,7.55827879511173,11.1300925834163,9.18911945576177,17.0195645290301,"du","mgpt_sc","non-linear"
"28",2.7,7.86879710468497,11.5225726016306,9.54437209897867,17.0195645290301,"du","mgpt_sc","non-linear"
"29",2.8,8.17461911253476,11.9155449143769,9.89268377180896,17.0195645290301,"du","mgpt_sc","non-linear"
"30",2.9,8.46786683989323,12.3015213758591,10.2330528092413,17.0195645290301,"du","mgpt_sc","non-linear"
"31",3,8.7548944936256,12.6689079005835,10.5644775462643,17.0195645290301,"du","mgpt_sc","non-linear"
"32",3.1,9.03517292472858,13.0149301476288,10.8859563178666,17.0195645290301,"du","mgpt_sc","non-linear"
"33",3.2,9.30818240059435,13.3368503736612,11.196501730383,17.0195645290301,"du","mgpt_sc","non-linear"
"34",3.3,9.57385337404714,13.6336805176992,11.4958086843643,17.0195645290301,"du","mgpt_sc","non-linear"
"35",3.4,9.83275503956574,13.9069150402309,11.7845401475295,17.0195645290301,"du","mgpt_sc","non-linear"
"36",3.5,10.0855051720822,14.1582372136331,12.0634327153961,17.0195645290301,"du","mgpt_sc","non-linear"
"37",3.6,10.3327215465286,14.3893303102828,12.3332229834815,17.0195645290301,"du","mgpt_sc","non-linear"
"38",3.7,10.5750219378369,14.6018776025568,12.5946475473032,17.0195645290301,"du","mgpt_sc","non-linear"
"39",3.8,10.8130241209393,14.7975623628322,12.8484430023788,17.0195645290301,"du","mgpt_sc","non-linear"
"40",3.9,11.0473458707679,14.9885842550715,13.0953459442256,17.0195645290301,"du","mgpt_sc","non-linear"
"41",4,11.2779998121147,15.1765762489347,13.3360929683612,17.0195645290301,"du","mgpt_sc","non-linear"
"42",4.1,11.5033952530002,15.3546114341589,13.5714206703031,17.0195645290301,"du","mgpt_sc","non-linear"
"43",4.2,11.72705595853,15.524047945263,13.8020656455687,17.0195645290301,"du","mgpt_sc","non-linear"
