"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"1",0,-2.82333239158666,1.98061701865762,0,-5.90142827151849,"du","long","linear"
"2",0.1,-2.59557460595605,2.25459229239675,0.25747259323925,-5.90142827151849,"du","long","linear"
"3",0.2,-2.36781682032544,2.52856756613588,0.514945186478498,-5.90142827151849,"du","long","linear"
"4",0.3,-2.14005903469483,2.80254283987502,0.772417779717748,-5.90142827151849,"du","long","linear"
"5",0.4,-1.91230124906423,3.07651811361415,1.029890372957,-5.90142827151849,"du","long","linear"
"6",0.5,-1.68454346343362,3.35049338735328,1.28736296619625,-5.90142827151849,"du","long","linear"
"7",0.6,-1.45678567780301,3.62446866109241,1.5448355594355,-5.90142827151849,"du","long","linear"
"8",0.7,-1.22902789217241,3.89844393483155,1.80230815267475,-5.90142827151849,"du","long","linear"
"9",0.8,-1.0012701065418,4.17241920857068,2.05978074591399,-5.90142827151849,"du","long","linear"
"10",0.9,-0.773512320911194,4.44639448230981,2.31725333915325,-5.90142827151849,"du","long","linear"
"11",1,-0.545754535280587,4.72036975604894,2.57472593239249,-5.90142827151849,"du","long","linear"
"12",1.1,-0.31799674964998,4.99434502978807,2.83219852563174,-5.90142827151849,"du","long","linear"
"13",1.2,-0.0902389640193721,5.26832030352721,3.08967111887099,-5.90142827151849,"du","long","linear"
"14",1.3,0.137518821611234,5.54229557726634,3.34714371211024,-5.90142827151849,"du","long","linear"
"15",1.4,0.365276607241841,5.81627085100547,3.60461630534949,-5.90142827151849,"du","long","linear"
"16",1.5,0.593034392872449,6.0902461247446,3.86208889858874,-5.90142827151849,"du","long","linear"
"17",1.6,0.820792178503055,6.36422139848373,4.11956149182799,-5.90142827151849,"du","long","linear"
"18",1.7,1.04854996413366,6.63819667222286,4.37703408506724,-5.90142827151849,"du","long","linear"
"19",1.8,1.27630774976427,6.912171945962,4.63450667830649,-5.90142827151849,"du","long","linear"
"20",1.9,1.50406553539488,7.18614721970113,4.89197927154574,-5.90142827151849,"du","long","linear"
