"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"1",0,-0.698347574554488,2.31653806901171,0,-1.87612783098378,"du","short","linear"
"2",0.1,-0.484824919763373,2.49991650256903,0.204607966487951,-1.87612783098378,"du","short","linear"
"3",0.2,-0.27347326979977,2.68329493612636,0.409215932975901,-1.87612783098378,"du","short","linear"
"4",0.3,-0.0658279854546016,2.86667336968368,0.613823899463851,-1.87612783098378,"du","short","linear"
"5",0.4,0.140572414813937,3.05005180324101,0.818431865951802,-1.87612783098378,"du","short","linear"
"6",0.5,0.310352678613735,3.23343023679833,1.02303983243975,-1.87612783098378,"du","short","linear"
"7",0.6,0.472752606410339,3.41680867035566,1.2276477989277,-1.87612783098378,"du","short","linear"
"8",0.7,0.635152534206944,3.60018710391298,1.43225576541565,-1.87612783098378,"du","short","linear"
"9",0.8,0.797552462003548,3.7835655374703,1.6368637319036,-1.87612783098378,"du","short","linear"
"10",0.9,0.959952389800153,3.96694397102763,1.84147169839155,-1.87612783098378,"du","short","linear"
"11",1,1.12235231759676,4.15032240458495,2.0460796648795,-1.87612783098378,"du","short","linear"
"12",1.1,1.28475224539336,4.33370083814228,2.25068763136745,-1.87612783098378,"du","short","linear"
"13",1.2,1.44715217318997,4.5170792716996,2.45529559785541,-1.87612783098378,"du","short","linear"
"14",1.3,1.60955210098657,4.70045770525693,2.65990356434336,-1.87612783098378,"du","short","linear"
"15",1.4,1.77195202878318,4.88383613881425,2.86451153083131,-1.87612783098378,"du","short","linear"
"16",1.5,1.93435195657978,5.06721457237158,3.06911949731926,-1.87612783098378,"du","short","linear"
"17",1.6,2.09675188437639,5.2505930059289,3.27372746380721,-1.87612783098378,"du","short","linear"
"18",1.7,2.25915181217299,5.43397143948622,3.47833543029516,-1.87612783098378,"du","short","linear"
"19",1.8,2.42155173996959,5.61734987304355,3.68294339678311,-1.87612783098378,"du","short","linear"
"20",1.9,2.5839516677662,5.80072830660088,3.88755136327106,-1.87612783098378,"du","short","linear"
"21",2,2.7463515955628,5.9841067401582,4.09215932975901,-1.87612783098378,"du","short","linear"
"22",2.1,2.90875152335941,6.16748517371552,4.29676729624696,-1.87612783098378,"du","short","linear"
"23",2.2,3.07115145115601,6.35086360727285,4.50137526273491,-1.87612783098378,"du","short","linear"
"24",2.3,3.23355137895262,6.53424204083018,4.70598322922286,-1.87612783098378,"du","short","linear"
"25",2.4,3.39595130674922,6.7176204743875,4.91059119571081,-1.87612783098378,"du","short","linear"
"26",2.5,3.55835123454583,6.90099890794482,5.11519916219876,-1.87612783098378,"du","short","linear"
"27",2.6,3.72075116234243,7.08437734150215,5.31980712868671,-1.87612783098378,"du","short","linear"
"28",2.7,3.88315109013904,7.26775577505947,5.52441509517466,-1.87612783098378,"du","short","linear"
"29",2.8,4.04555101793564,7.4511342086168,5.72902306166261,-1.87612783098378,"du","short","linear"
"30",2.9,4.20795094573224,7.66194337478312,5.93363102815056,-1.87612783098378,"du","short","linear"
"31",3,4.37035087352885,7.92244527939103,6.13823899463851,-1.87612783098378,"du","short","linear"
"32",3.1,4.53275080132545,8.18294718399893,6.34284696112646,-1.87612783098378,"du","short","linear"
"33",3.2,4.69515072912206,8.44344908860684,6.54745492761441,-1.87612783098378,"du","short","linear"
"34",3.3,4.85755065691866,8.70395099321475,6.75206289410236,-1.87612783098378,"du","short","linear"
