"","surp","y_lower","y_upper","y","delta","lang","model","linear"
"1",0,-0.926074615406351,0.922972712510196,0,-3.44606535676973,"du","mgpt_sc","linear"
"2",0.1,-0.713477088343664,1.13450796783862,0.21881265240751,-3.44606535676973,"du","mgpt_sc","linear"
"3",0.2,-0.500879561280977,1.34604322316705,0.437625304815019,-3.44606535676973,"du","mgpt_sc","linear"
"4",0.3,-0.288282034218291,1.55757847849548,0.65643795722253,-3.44606535676973,"du","mgpt_sc","linear"
"5",0.4,-0.0756845071556032,1.7691137338239,0.875250609630039,-3.44606535676973,"du","mgpt_sc","linear"
"6",0.5,0.136913019907083,1.98064898915233,1.09406326203755,-3.44606535676973,"du","mgpt_sc","linear"
"7",0.6,0.34951054696977,2.19218424448076,1.31287591444506,-3.44606535676973,"du","mgpt_sc","linear"
"8",0.7,0.562108074032456,2.40371949980919,1.53168856685257,-3.44606535676973,"du","mgpt_sc","linear"
"9",0.8,0.774705601095144,2.61525475513762,1.75050121926008,-3.44606535676973,"du","mgpt_sc","linear"
"10",0.9,0.98730312815783,2.82679001046604,1.96931387166759,-3.44606535676973,"du","mgpt_sc","linear"
"11",1,1.19990065522052,3.03832526579447,2.1881265240751,-3.44606535676973,"du","mgpt_sc","linear"
"12",1.1,1.4124981822832,3.2498605211229,2.40693917648261,-3.44606535676973,"du","mgpt_sc","linear"
"13",1.2,1.62509570934589,3.46139577645133,2.62575182889012,-3.44606535676973,"du","mgpt_sc","linear"
"14",1.3,1.83769323640858,3.67293103177975,2.84456448129763,-3.44606535676973,"du","mgpt_sc","linear"
"15",1.4,2.05029076347126,3.88446628710818,3.06337713370514,-3.44606535676973,"du","mgpt_sc","linear"
"16",1.5,2.26288829053395,4.09600154243661,3.28218978611265,-3.44606535676973,"du","mgpt_sc","linear"
"17",1.6,2.47548581759664,4.30753679776504,3.50100243852015,-3.44606535676973,"du","mgpt_sc","linear"
"18",1.7,2.68797448188237,4.51907205309346,3.71981509092766,-3.44606535676973,"du","mgpt_sc","linear"
"19",1.8,2.89959530788327,4.73060730842189,3.93862774333517,-3.44606535676973,"du","mgpt_sc","linear"
"20",1.9,3.11121613388416,4.95373865498706,4.15744039574268,-3.44606535676973,"du","mgpt_sc","linear"
"21",2,3.32283695988506,5.18240656403034,4.37625304815019,-3.44606535676973,"du","mgpt_sc","linear"
"22",2.1,3.53445778588595,5.41107447307363,4.5950657005577,-3.44606535676973,"du","mgpt_sc","linear"
"23",2.2,3.74607861188685,5.64388870358473,4.81387835296521,-3.44606535676973,"du","mgpt_sc","linear"
"24",2.3,3.95769943788774,5.87995300693576,5.03269100537272,-3.44606535676973,"du","mgpt_sc","linear"
"25",2.4,4.16932026388864,6.11601731028679,5.25150365778023,-3.44606535676973,"du","mgpt_sc","linear"
"26",2.5,4.38094108988953,6.35208161363781,5.47031631018774,-3.44606535676973,"du","mgpt_sc","linear"
"27",2.6,4.59256191589042,6.58814591698884,5.68912896259525,-3.44606535676973,"du","mgpt_sc","linear"
"28",2.7,4.80418274189132,6.82421022033986,5.90794161500276,-3.44606535676973,"du","mgpt_sc","linear"
"29",2.8,5.01580356789221,7.06027452369089,6.12675426741027,-3.44606535676973,"du","mgpt_sc","linear"
"30",2.9,5.22742439389311,7.29633882704191,6.34556691981778,-3.44606535676973,"du","mgpt_sc","linear"
"31",3,5.439045219894,7.53240313039294,6.56437957222529,-3.44606535676973,"du","mgpt_sc","linear"
"32",3.1,5.6506660458949,7.76846743374396,6.7831922246328,-3.44606535676973,"du","mgpt_sc","linear"
"33",3.2,5.86228687189579,8.00453173709499,7.00200487704031,-3.44606535676973,"du","mgpt_sc","linear"
"34",3.3,6.07390769789669,8.24059604044602,7.22081752944782,-3.44606535676973,"du","mgpt_sc","linear"
"35",3.4,6.28552852389758,8.47666034379704,7.43963018185533,-3.44606535676973,"du","mgpt_sc","linear"
"36",3.5,6.49714934989847,8.71272464714806,7.65844283426284,-3.44606535676973,"du","mgpt_sc","linear"
"37",3.6,6.70877017589937,8.94878895049909,7.87725548667035,-3.44606535676973,"du","mgpt_sc","linear"
"38",3.7,6.92039100190026,9.18485325385012,8.09606813907786,-3.44606535676973,"du","mgpt_sc","linear"
"39",3.8,7.13201182790116,9.42091755720114,8.31488079148537,-3.44606535676973,"du","mgpt_sc","linear"
"40",3.9,7.34363265390205,9.65698186055217,8.53369344389288,-3.44606535676973,"du","mgpt_sc","linear"
"41",4,7.55525347990295,9.89304616390319,8.75250609630039,-3.44606535676973,"du","mgpt_sc","linear"
"42",4.1,7.76687430590384,10.1291104672542,8.9713187487079,-3.44606535676973,"du","mgpt_sc","linear"
"43",4.2,7.97849513190473,10.3651747706052,9.19013140111541,-3.44606535676973,"du","mgpt_sc","linear"
"44",4.3,8.19011595790563,10.6012390739563,9.40894405352292,-3.44606535676973,"du","mgpt_sc","linear"
"45",4.4,8.40173678390652,10.8373033773073,9.62775670593043,-3.44606535676973,"du","mgpt_sc","linear"
"46",4.5,8.61335760990742,11.0733676806583,9.84656935833794,-3.44606535676973,"du","mgpt_sc","linear"
"47",4.6,8.82497843590831,11.3094319840093,10.0653820107454,-3.44606535676973,"du","mgpt_sc","linear"
"48",4.7,9.03659926190921,11.5454962873604,10.284194663153,-3.44606535676973,"du","mgpt_sc","linear"
"49",4.8,9.2482200879101,11.7815605907114,10.5030073155605,-3.44606535676973,"du","mgpt_sc","linear"
"50",4.9,9.459840913911,12.0176248940624,10.721819967968,-3.44606535676973,"du","mgpt_sc","linear"
"51",5,9.67146173991189,12.2536891974134,10.9406326203755,-3.44606535676973,"du","mgpt_sc","linear"
"52",5.1,9.88208614414441,12.4897535007645,11.159445272783,-3.44606535676973,"du","mgpt_sc","linear"
"53",5.2,10.0905385701152,12.7258178041155,11.3782579251905,-3.44606535676973,"du","mgpt_sc","linear"
"54",5.3,10.298990996086,12.9618821074665,11.597070577598,-3.44606535676973,"du","mgpt_sc","linear"
"55",5.4,10.5074434220569,13.1979464108176,11.8158832300055,-3.44606535676973,"du","mgpt_sc","linear"
"56",5.5,10.7158958480277,13.4340107141686,12.034695882413,-3.44606535676973,"du","mgpt_sc","linear"
"57",5.6,10.9243482739985,13.6700750175196,12.2535085348205,-3.44606535676973,"du","mgpt_sc","linear"
"58",5.7,11.1328006999693,13.9061393208706,12.4723211872281,-3.44606535676973,"du","mgpt_sc","linear"
"59",5.8,11.3412531259401,14.1422036242217,12.6911338396356,-3.44606535676973,"du","mgpt_sc","linear"
"60",5.9,11.5497055519109,14.3782679275727,12.9099464920431,-3.44606535676973,"du","mgpt_sc","linear"
"61",6,11.7581579778817,14.6143322309237,13.1287591444506,-3.44606535676973,"du","mgpt_sc","linear"
"62",6.1,11.9666104038526,14.8503965342747,13.3475717968581,-3.44606535676973,"du","mgpt_sc","linear"
"63",6.2,12.1750628298234,15.0864608376258,13.5663844492656,-3.44606535676973,"du","mgpt_sc","linear"
"64",6.3,12.3835152557942,15.3225251409768,13.7851971016731,-3.44606535676973,"du","mgpt_sc","linear"
"65",6.4,12.591967681765,15.5585894443278,14.0040097540806,-3.44606535676973,"du","mgpt_sc","linear"
"66",6.5,12.8004201077358,15.7946537476788,14.2228224064881,-3.44606535676973,"du","mgpt_sc","linear"
"67",6.6,13.0088725337066,16.0307180510299,14.4416350588956,-3.44606535676973,"du","mgpt_sc","linear"
"68",6.7,13.2173249596774,16.2667823543809,14.6604477113031,-3.44606535676973,"du","mgpt_sc","linear"
"69",6.8,13.4257773856483,16.5028466577319,14.8792603637107,-3.44606535676973,"du","mgpt_sc","linear"
"70",6.9,13.6342298116191,16.7389109610829,15.0980730161182,-3.44606535676973,"du","mgpt_sc","linear"
"71",7,13.8426822375899,16.974975264434,15.3168856685257,-3.44606535676973,"du","mgpt_sc","linear"
"72",7.1,14.0511346635607,17.211039567785,15.5356983209332,-3.44606535676973,"du","mgpt_sc","linear"
"73",7.2,14.2595870895315,17.447103871136,15.7545109733407,-3.44606535676973,"du","mgpt_sc","linear"
"74",7.3,14.4680395155023,17.683168174487,15.9733236257482,-3.44606535676973,"du","mgpt_sc","linear"
"75",7.4,14.6764919414731,17.9192324778381,16.1921362781557,-3.44606535676973,"du","mgpt_sc","linear"
"76",7.5,14.884944367444,18.1552967811891,16.4109489305632,-3.44606535676973,"du","mgpt_sc","linear"
"77",7.6,15.0933967934148,18.3913610845401,16.6297615829707,-3.44606535676973,"du","mgpt_sc","linear"
"78",7.7,15.3018492193856,18.6274253878911,16.8485742353782,-3.44606535676973,"du","mgpt_sc","linear"
"79",7.8,15.5103016453564,18.863686681876,17.0673868877858,-3.44606535676973,"du","mgpt_sc","linear"
"80",7.9,15.7187540713272,19.1006984064867,17.2861995401933,-3.44606535676973,"du","mgpt_sc","linear"
"81",8,15.927206497298,19.3377101310973,17.5050121926008,-3.44606535676973,"du","mgpt_sc","linear"
"82",8.1,16.1356589232689,19.5747218557079,17.7238248450083,-3.44606535676973,"du","mgpt_sc","linear"
"83",8.2,16.3441113492397,19.8117335803186,17.9426374974158,-3.44606535676973,"du","mgpt_sc","linear"
"84",8.3,16.5525637752105,20.0487453049292,18.1614501498233,-3.44606535676973,"du","mgpt_sc","linear"
"85",8.4,16.7610162011813,20.2857570295399,18.3802628022308,-3.44606535676973,"du","mgpt_sc","linear"
"86",8.5,16.9694686271521,20.5227687541505,18.5990754546383,-3.44606535676973,"du","mgpt_sc","linear"
"87",8.6,17.1779210531229,20.7597804787611,18.8178881070458,-3.44606535676973,"du","mgpt_sc","linear"
"88",8.7,17.3863734790937,20.9967922033718,19.0367007594533,-3.44606535676973,"du","mgpt_sc","linear"
"89",8.8,17.5948259050646,21.2338039279824,19.2555134118609,-3.44606535676973,"du","mgpt_sc","linear"
"90",8.9,17.8032783310354,21.4708156525931,19.4743260642684,-3.44606535676973,"du","mgpt_sc","linear"
"91",9,18.0117307570062,21.7078273772037,19.6931387166759,-3.44606535676973,"du","mgpt_sc","linear"
"92",9.1,18.220183182977,21.9448391018143,19.9119513690834,-3.44606535676973,"du","mgpt_sc","linear"
"93",9.2,18.4286356089478,22.181850826425,20.1307640214909,-3.44606535676973,"du","mgpt_sc","linear"
"94",9.3,18.6370880349186,22.4188625510356,20.3495766738984,-3.44606535676973,"du","mgpt_sc","linear"
"95",9.4,18.8455404608894,22.6558742756462,20.5683893263059,-3.44606535676973,"du","mgpt_sc","linear"
"96",9.5,19.0539928868603,22.8928860002569,20.7872019787134,-3.44606535676973,"du","mgpt_sc","linear"
"97",9.6,19.2624453128311,23.1298977248675,21.0060146311209,-3.44606535676973,"du","mgpt_sc","linear"
"98",9.7,19.4708977388019,23.3669094494782,21.2248272835284,-3.44606535676973,"du","mgpt_sc","linear"
"99",9.8,19.6793501647727,23.6039211740888,21.443639935936,-3.44606535676973,"du","mgpt_sc","linear"
"100",9.9,19.8878025907435,23.8409328986994,21.6624525883435,-3.44606535676973,"du","mgpt_sc","linear"
"101",10,20.0962550167143,24.0779446233101,21.881265240751,-3.44606535676973,"du","mgpt_sc","linear"
"102",10.1,20.3047074426852,24.3149563479207,22.1000778931585,-3.44606535676973,"du","mgpt_sc","linear"
"103",10.2,20.513159868656,24.5519680725314,22.318890545566,-3.44606535676973,"du","mgpt_sc","linear"
"104",10.3,20.7216122946268,24.788979797142,22.5377031979735,-3.44606535676973,"du","mgpt_sc","linear"
"105",10.4,20.9300647205976,25.0259915217526,22.756515850381,-3.44606535676973,"du","mgpt_sc","linear"
"106",10.5,21.1385171465684,25.2630032463633,22.9753285027885,-3.44606535676973,"du","mgpt_sc","linear"
"107",10.6,21.3469695725392,25.5000149709739,23.194141155196,-3.44606535676973,"du","mgpt_sc","linear"
"108",10.7,21.55542199851,25.7370266955845,23.4129538076035,-3.44606535676973,"du","mgpt_sc","linear"
"109",10.8,21.7638744244809,25.9740384201952,23.631766460011,-3.44606535676973,"du","mgpt_sc","linear"
