"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"1",0,-4.9507119840441,2.9694228673397,0,12.2561455111058,"du","short","non-linear"
"2",0.1,-4.70105596902177,2.49560871601779,-0.148869961279116,12.2561455111058,"du","short","non-linear"
"3",0.2,-4.45139951954485,2.03589098165909,-0.295303039695584,12.2561455111058,"du","short","non-linear"
"4",0.3,-4.20174220115872,1.68331483351185,-0.436862352386747,12.2561455111058,"du","short","non-linear"
"5",0.4,-3.95208357940879,1.42678839119652,-0.571111016489947,12.2561455111058,"du","short","non-linear"
"6",0.5,-3.71055142423299,1.52661204186723,-0.695612149142541,12.2561455111058,"du","short","non-linear"
"7",0.6,-3.56183120640861,1.62934528367312,-0.807928867481875,12.2561455111058,"du","short","non-linear"
"8",0.7,-3.40909488315762,1.73557003484122,-0.905624288645297,12.2561455111058,"du","short","non-linear"
"9",0.8,-3.25167310357559,1.84586821359857,-0.986261529770156,12.2561455111058,"du","short","non-linear"
"10",0.9,-3.22689950049008,1.98538013569356,-1.04740370799379,12.2561455111058,"du","short","non-linear"
"11",1,-3.59780842952788,2.15780976064347,-1.08661394045357,12.2561455111058,"du","short","non-linear"
"12",1.1,-3.92189258527469,2.33023938522952,-1.10145534428681,12.2561455111058,"du","short","non-linear"
"13",1.2,-4.19446949040145,2.50266900941532,-1.08949103663088,12.2561455111058,"du","short","non-linear"
"14",1.3,-4.41504779316156,2.67509863316448,-1.04828413462313,12.2561455111058,"du","short","non-linear"
"15",1.4,-4.59612719049801,2.84752825644062,-0.975397755400898,12.2561455111058,"du","short","non-linear"
"16",1.5,-4.70357805950583,3.01995787920736,-0.868395016101536,12.2561455111058,"du","short","non-linear"
"17",1.6,-4.73214121959014,3.19238750142829,-0.724839033862391,12.2561455111058,"du","short","non-linear"
"18",1.7,-4.67655749015601,3.36481712306705,-0.54229292582081,12.2561455111058,"du","short","non-linear"
"19",1.8,-4.53200871753059,3.53724674406504,-0.318534968028207,12.2561455111058,"du","short","non-linear"
"20",1.9,-4.30022382943599,3.70967636403405,-0.0545374885379015,12.2561455111058,"du","short","non-linear"
"21",2,-3.990296549841,3.88210598233343,0.246281304607466,12.2561455111058,"du","short","non-linear"
"22",2.1,-3.64044616256553,4.05453559831616,0.58044102789394,12.2561455111058,"du","short","non-linear"
"23",2.2,-3.23074855417712,4.22696521133517,0.944461297807564,12.2561455111058,"du","short","non-linear"
"24",2.3,-2.76720553463098,4.39939482074344,1.33486173083438,12.2561455111058,"du","short","non-linear"
"25",2.4,-2.25581891388234,4.57182442589391,1.74816194346043,12.2561455111058,"du","short","non-linear"
"26",2.5,-1.7025905018864,4.80094113188205,2.18088155217177,12.2561455111058,"du","short","non-linear"
"27",2.6,-1.11352210859839,5.0359961240411,2.62954017345442,12.2561455111058,"du","short","non-linear"
"28",2.7,-0.494615543973522,5.27359769768773,3.09065742379444,12.2561455111058,"du","short","non-linear"
"29",2.8,0.148127382032996,5.51286493770611,3.56075291967787,12.2561455111058,"du","short","non-linear"
"30",2.9,0.808704859465944,6.12388174594547,4.03634627759075,12.2561455111058,"du","short","non-linear"
