"","prev_surp","y_lower","y_upper","y","delta","lang","model","linear"
"1",0,-3.84392202828572,4.33907746156378,0,-5.07689462776539,"du","mgpt_lc","non-linear"
"2",0.1,-4.30001614386775,2.88802823170835,-0.800572154772755,-5.07689462776539,"du","mgpt_lc","non-linear"
"3",0.2,-4.75316906016094,1.44704829765203,-1.59643804603947,-5.07689462776539,"du","mgpt_lc","non-linear"
"4",0.3,-5.20043957787647,0.092084601704097,-2.38289141029408,-5.07689462776539,"du","mgpt_lc","non-linear"
"5",0.4,-5.63888649772551,-1.00673628446856,-3.15522598403057,-5.07689462776539,"du","mgpt_lc","non-linear"
"6",0.5,-6.06556862041922,-1.77391150320091,-3.90873550374287,-5.07689462776539,"du","mgpt_lc","non-linear"
"7",0.6,-6.59453554979992,-2.46726112499668,-4.63871370592494,-5.07689462776539,"du","mgpt_lc","non-linear"
"8",0.7,-7.16845232738277,-3.0809598837823,-5.34045432707073,-5.07689462776539,"du","mgpt_lc","non-linear"
"9",0.8,-7.80883666810001,-3.66083753022074,-6.00925110367421,-5.07689462776539,"du","mgpt_lc","non-linear"
"10",0.9,-8.61795995837419,-4.21248375481353,-6.64039777222933,-5.07689462776539,"du","mgpt_lc","non-linear"
"11",1,-9.50272722260351,-4.73236962982996,-7.22918806923003,-5.07689462776539,"du","mgpt_lc","non-linear"
"12",1.1,-10.3259685920197,-5.21696622753934,-7.77091573117028,-5.07689462776539,"du","mgpt_lc","non-linear"
"13",1.2,-11.0548893005813,-5.64356338021934,-8.26087449454402,-5.07689462776539,"du","mgpt_lc","non-linear"
"14",1.3,-11.6809147427561,-5.99634383256631,-8.69435809584522,-5.07689462776539,"du","mgpt_lc","non-linear"
"15",1.4,-12.1954703130118,-6.31035269547757,-9.06666027156782,-5.07689462776539,"du","mgpt_lc","non-linear"
"16",1.5,-12.5899814058163,-6.58260753899653,-9.37307475820579,-5.07689462776539,"du","mgpt_lc","non-linear"
"17",1.6,-12.8566446913925,-6.8103563464007,-9.60929293496946,-5.07689462776539,"du","mgpt_lc","non-linear"
"18",1.7,-12.9984464023201,-6.99407040721116,-9.77656890082953,-5.07689462776539,"du","mgpt_lc","non-linear"
"19",1.8,-13.0263105091875,-7.136592354627,-9.88024917394976,-5.07689462776539,"du","mgpt_lc","non-linear"
"20",1.9,-12.9513449941604,-7.24081979401815,-9.92577514240633,-5.07689462776539,"du","mgpt_lc","non-linear"
"21",2,-12.7846578394041,-7.30965033075458,-9.91858819427547,-5.07689462776539,"du","mgpt_lc","non-linear"
"22",2.1,-12.5373570270843,-7.34598157020622,-9.86412971763338,-5.07689462776539,"du","mgpt_lc","non-linear"
"23",2.2,-12.2491991985256,-7.35271111774303,-9.76784110055625,-5.07689462776539,"du","mgpt_lc","non-linear"
"24",2.3,-12.0192292825472,-7.33273657873494,-9.63516373112031,-5.07689462776539,"du","mgpt_lc","non-linear"
"25",2.4,-11.7478213623758,-7.28895555855192,-9.47153899740175,-5.07689462776539,"du","mgpt_lc","non-linear"
"26",2.5,-11.4430385005855,-7.2242656625639,-9.28240828747679,-5.07689462776539,"du","mgpt_lc","non-linear"
"27",2.6,-11.3037551705446,-7.14156449614084,-9.07321298942162,-5.07689462776539,"du","mgpt_lc","non-linear"
"28",2.7,-11.1738195402765,-6.98429328955397,-8.84939449131246,-5.07689462776539,"du","mgpt_lc","non-linear"
"29",2.8,-11.0268986323436,-6.71730360399485,-8.61639418122551,-5.07689462776539,"du","mgpt_lc","non-linear"
"30",2.9,-10.8667576227743,-6.44863074514138,-8.37965344723697,-5.07689462776539,"du","mgpt_lc","non-linear"
"31",3,-10.6971616875973,-5.94232731740397,-8.14461367742306,-5.07689462776539,"du","mgpt_lc","non-linear"
