"","trialid","ianum","model_ia","surp","ent","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent","ia","total_rt","gaze_rt","firstfix_rt","mismatch","lang"
"1",1,1,"고대",10.5170965457059,8.76905250549316,"mgpt_lc",0.0000295,2,NA,NA,NA,NA,NA,NA,NA,NA,"고대",298.190476190476,167.47619047619,137.619047619048,FALSE,"ko"
"2",1,2,"로마의",12.322540601635,15.4737935066223,"mgpt_lc",0.0000406,3,10.5170965457059,NA,0.0000295,NA,2,NA,8.76905250549316,NA,"로마의",891.285714285714,373.47619047619,219.238095238095,FALSE,"ko"
"3",1,3,"종교와",13.2449540687434,17.017516374588,"mgpt_lc",0.0000663,3,12.322540601635,10.5170965457059,0.0000406,0.0000295,3,2,15.4737935066223,8.76905250549316,"종교와",686.095238095238,249.857142857143,186.857142857143,FALSE,"ko"
"4",1,4,"신화에서",11.4697077723256,15.8196003437042,"mgpt_lc",0.0000444,4,13.2449540687434,12.322540601635,0.0000663,0.0000406,3,3,17.017516374588,15.4737935066223,"신화에서",630.571428571429,299.190476190476,203.52380952381,FALSE,"ko"
"5",1,5,"야누스는",21.4276463269395,16.113098859787,"mgpt_lc",0,4,11.4697077723256,13.2449540687434,0.0000444,0.0000663,4,3,15.8196003437042,17.017516374588,"야누스는",659.904761904762,294.285714285714,207.47619047619,FALSE,"ko"
"6",1,6,"시작과",16.8588533622351,13.8913702964783,"mgpt_lc",0.000605,3,21.4276463269395,11.4697077723256,0,0.0000444,4,4,16.113098859787,15.8196003437042,"시작과",887.952380952381,319.666666666667,215.238095238095,FALSE,"ko"
"7",1,7,"문의",19.7701467343044,5.78704166412354,"mgpt_lc",0.0000339,2,16.8588533622351,21.4276463269395,0.000605,0,3,4,13.8913702964783,16.113098859787,"문의",676.571428571429,269.904761904762,211.47619047619,FALSE,"ko"
"8",1,8,"신으로",8.67760340348999,13.3362708091736,"mgpt_lc",0.000635,3,19.7701467343044,16.8588533622351,0.0000339,0.000605,2,3,5.78704166412354,13.8913702964783,"신으로",424.428571428571,159.380952380952,159.380952380952,FALSE,"ko"
"9",1,9,"여겨졌다.",5.11177066397207,9.54071080684662,"mgpt_lc",0.00000263,5,8.67760340348999,19.7701467343044,0.000635,0.0000339,3,2,13.3362708091736,5.78704166412354,"여겨졌다.",243.047619047619,133.904761904762,126.857142857143,FALSE,"ko"
"10",1,10,"그는",5.17106765510712,6.62051677703857,"mgpt_lc",0.00324,2,5.11177066397207,8.67760340348999,0.00000263,0.000635,5,3,9.54071080684662,13.3362708091736,"그는",107.666666666667,92.5238095238095,82.3333333333333,FALSE,"ko"
"11",1,11,"양면적",20.9988017687905,20.6765661239624,"mgpt_lc",0.0000069,3,5.17106765510712,5.11177066397207,0.00324,0.00000263,2,5,6.62051677703857,9.54071080684662,"양면적",719.952380952381,381.47619047619,239.571428571429,FALSE,"ko"
"12",1,12,"성격을",7.69646355252832,9.8133385181427,"mgpt_lc",0.0000756,3,20.9988017687905,5.17106765510712,0.0000069,0.00324,3,2,20.6765661239624,6.62051677703857,"성격을",462.428571428571,241,207.47619047619,FALSE,"ko"
"13",1,13,"지녀",9.44607813565343,5.17454123497009,"mgpt_lc",0,2,7.69646355252832,20.9988017687905,0.0000756,0.0000069,3,3,9.8133385181427,20.6765661239624,"지녀",353.761904761905,226.52380952381,219.333333333333,FALSE,"ko"
"14",1,14,"보통",9.93458093843082,11.7787251472473,"mgpt_lc",0.0000871,2,9.44607813565343,7.69646355252832,0,0.0000756,2,3,5.17454123497009,9.8133385181427,"보통",125.952380952381,117.428571428571,112.333333333333,FALSE,"ko"
"15",1,15,"두",8.19199493348498,6.38048553466797,"mgpt_lc",0.0011,1,9.93458093843082,9.44607813565343,0.0000871,0,2,2,11.7787251472473,5.17454123497009,"두",45.7142857142857,40.5714285714286,40.5714285714286,FALSE,"ko"
"16",1,16,"개의",3.28786246868122,6.12523722648621,"mgpt_lc",0.00000257,2,8.19199493348498,9.93458093843082,0.0011,0.0000871,1,2,6.38048553466797,11.7787251472473,"개의",313.190476190476,214.666666666667,172.142857142857,FALSE,"ko"
"17",1,17,"얼굴을",6.16744102810463,10.8804459422827,"mgpt_lc",0.000193,3,3.28786246868122,8.19199493348498,0.00000257,0.0011,2,1,6.12523722648621,6.38048553466797,"얼굴을",274.380952380952,153,153,FALSE,"ko"
"18",1,18,"가지고",1.08035321222699,2.54551792144775,"mgpt_lc",0.000606,3,6.16744102810463,3.28786246868122,0.000193,0.00000257,3,2,10.8804459422827,6.12523722648621,"가지고",204.857142857143,125.142857142857,125.142857142857,FALSE,"ko"
"19",1,19,"있는",5.34332441419817,3.52535891532898,"mgpt_lc",0.00813,2,1.08035321222699,6.16744102810463,0.000606,0.000193,3,3,2.54551792144775,10.8804459422827,"있는",127.52380952381,127.52380952381,127.52380952381,FALSE,"ko"
"20",1,20,"것으로",3.14310805413419,7.18453931808472,"mgpt_lc",0.00232,3,5.34332441419817,1.08035321222699,0.00813,0.000606,2,3,3.52535891532898,2.54551792144775,"것으로",130,104.809523809524,104.809523809524,FALSE,"ko"
"21",1,21,"그려지는데,",16.6533972131124,13.1206314563751,"mgpt_lc",0.0000276,6,3.14310805413419,5.34332441419817,0.00232,0.00813,3,2,7.18453931808472,3.52535891532898,"그려지는데,",288.238095238095,178.380952380952,156.809523809524,FALSE,"ko"
"22",1,22,"이는",3.7082089020203,7.05666971206665,"mgpt_lc",0.014,2,16.6533972131124,3.14310805413419,0.0000276,0.00232,6,3,13.1206314563751,7.18453931808472,"이는",211.047619047619,198.428571428571,168.666666666667,FALSE,"ko"
"23",1,23,"그가",4.96273122983922,7.83475875854492,"mgpt_lc",0.0029,2,3.7082089020203,16.6533972131124,0.014,0.0000276,2,6,7.05666971206665,13.1206314563751,"그가",230.380952380952,176.095238095238,153.285714285714,FALSE,"ko"
"24",1,24,"미래와",18.4699907539602,18.5073366165161,"mgpt_lc",0.000106,3,4.96273122983922,3.7082089020203,0.0029,0.014,2,2,7.83475875854492,7.05666971206665,"미래와",397.571428571429,268.52380952381,209.47619047619,FALSE,"ko"
"25",1,25,"과거를",6.33719264390643,10.7313950061798,"mgpt_lc",0.000119,3,18.4699907539602,4.96273122983922,0.000106,0.0029,3,2,18.5073366165161,7.83475875854492,"과거를",298.095238095238,172.285714285714,157.952380952381,FALSE,"ko"
"26",1,26,"모두",4.79061118973575,6.99384164810181,"mgpt_lc",0.000479,2,6.33719264390643,18.4699907539602,0.000119,0.000106,3,3,10.7313950061798,18.5073366165161,"모두",216.761904761905,139.142857142857,139.142857142857,FALSE,"ko"
